company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,state code,company_age,python,r,java,scala,sql,spark,aws,azure,airflow,snowflake,git
CODING DOJO INC.,Data Engineer,"Long Beach, CA","Data Engineer
Remote
ABOUT US :
The company provides specialized and competitive talent to help you build your team’s capabilities and success. Our staff have proven experience from the most competitive companies in Silicon Valley, so you know they have the experience and dedication that you can trust. For short or long-term assignments, we will take the hassle out of finding the next perfect fit for your team.
REQUIREMENTS :
Show More
Report",107.5,,,,,, CA,,0,1,0,0,0,0,0,0,0,0,0
"ViaPath Technologies
",Intelligence Data Engineer,"Dallas, TX","Overview:
The Data Engineer is a member of the Intelligence team. The engineer will create ETL processes, develop data pipelines, conduct data analysis, create data visualizations, and help develop performance metrics in support of the customer. This work will be done as part of a team creating and supporting ViaPath's enterprise data lake from a large variety of data sources.

This remote/virtual position can be performed from anywhere in the continental US.
Responsibilities:
Develop and build data infrastructure for our customers to support data analytic needs.
Partner with internal business stakeholders to engineer batch and real-time streaming data pipelines
Qualifications:


Show More
Report",98.0,1001 to 5000 Employees,Company - Private,Telecommunications,Telecommunications Services,1989.0, TX,34.0,0,1,0,0,0,0,0,0,0,0,0
RevOpsforce,Data Engineer (Contract),"Austin, TX","About RevOpsforce:
At RevOpsforce, our mission is to drive sustainable revenue growth for our clients by leveraging data-driven insights, technology, and process optimization. We strive to deliver measurable results that exceed expectations, while building strong partnerships with our clients and continuously improving our own capabilities. Our Expert Network is composed of the highest skilled and certified professionals in revenue operations. We leverage this network to solve our clients' most complex operational challenges.
Type: Contract
Job Description:
We are seeking a talented and experienced Data Engineer to join our growing team. As a Data Engineer at our company, you will be responsible for designing, building, and maintaining the data pipelines that power our data-driven applications. In this role, you will work closely with our data science and engineering teams to develop high-quality, efficient data pipelines that enable us to derive insights from vast amounts of data. You should be comfortable working with large volumes of structured and unstructured data, and have a strong understanding of SQL, Python, and other programming languages.
Show More
Report",94.0,Unknown,Company - Private,,,, TX,,1,1,0,0,1,0,0,0,0,0,0
"BEUMER Group
","Data Engineer, Analytics","Somerset, NJ","Company Description

BEUMER Group is an international manufacturing leader in intralogistics in the fields of conveying, loading, palletizing, packaging, sortation, and distribution technology. BEUMER Group offers the right solution for almost every logistic challenge. We are a family owned, intralogistics leader, where tradition and innovation go hand in hand. We are proud of what our employees create each day. Integrity, Inspiration, Quality and Teamwork!

Job Description

At BEUMER Group, we offer innovative material handling solutions around the world. Among other industries, we service airports and parcel companies with sorting and distribution solutions that ensure that suitcases and parcels reach the right owners – again and again. This requires collecting and analyzing large amounts of data to ensure that our solutions can deliver time and time again.




Show More
Report",113.5,1001 to 5000 Employees,Company - Private,Manufacturing,Machinery Manufacturing,, NJ,,0,1,0,0,0,0,0,0,0,0,0
"Mastercard
",Data Engineer II,"Arlington, VA","Our Purpose
We work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a
culture of inclusion
for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.
Title and Summary
Data Engineer II
Overview:
We are seeking a talented and motivated Data Engineer II to join Mastercard Data and Services Technical Implementation team. As a Data Engineer II, you will participate on data management aspects of client engagements to deliver Test & Learn and other D&S delivery solutions, as well as contribute to and foster a high-performance collaborative workplace.

Role:

All About You:

What is Data & Services?
Mastercard Data & Services (D&S), the professional services arm of Mastercard, provides payments-focused consultancy services to financial institutions, governments, and merchants worldwide. With unique category expertise, deep understanding of customer needs, and a successful track record in addressing complex challenges throughout the payment lifecycle, Mastercard D&S addresses clients' challenges and opportunities, enhances Mastercard's strategic and tactical performance, and establishes Mastercard as a global thought leader.

#LI-NF1
In the US, Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law. If you require accommodations or assistance to complete the online application process, please contact reasonable_accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly.

Arlington, Virginia: $101,000 - $156,000 USD
Show More
Report",110.0,10000+ Employees,Company - Public,Financial Services,Financial Transaction Processing,1966.0, VA,57.0,0,1,0,0,0,0,0,0,0,0,1
RWA.xyz,Data Engineer,"Brooklyn, NY","About RWA.xyz
RWA.xyz is a data provider and analytics dashboard for the next big wave in DeFi: Real-World Assets. DeFi today exists in an insular bubble, but RWAs present the chance for the vast efficiency and transparency benefits of DeFi to impact the outside world. We build tools to help investors effectively navigate this new paradigm.
We’re backed by top VCs in the industry, Archetype, Jump Crypto, Nascent, and Shima, and our team has worked at some of the best web2 and web3 companies in the world. We move fast, build in the open, and are eager to bring on new team members!
Overview
Show More
Report",125.0,1 to 50 Employees,Company - Private,,,, NY,,0,1,0,0,0,0,0,0,0,0,0
"Lexicon
",Data Engineer,"Maryland Heights, MO","Lexicon Data Engineer
The Lexicon Data Engineer will develop and optimize data pipelines for scalability and performance for datasets of all sizes. As the Data Engineer, you will work closely with the Database Administrator to build and maintain the Lexicon data warehouse; you will support data science by preparing data for data mining, modeling, and reporting; and you will support software development by assisting with database development and data migration efforts.
About Us
Lexicon is a legal services and technology provider with deep expertise in the legal industry. We provide a world-class practice management software suite, enabling attorneys to maximize productive use of their time when working cases. With expertise in marketing for law firms, revenue optimization, billing and collections, support services, and more, Lexicon is your trusted partner for all legal practice needs.
This is a Permanent (Hybrid), Full-time opportunity. 1099/C2C employees will not be considered.

Show More
Report",89.5,51 to 200 Employees,Company - Private,Legal,Legal,2008.0, MO,15.0,0,1,0,1,0,0,0,0,0,0,0
"Aunalytics
",Data Engineer,"South Bend, IN","Position Overview
At the heart of our Daybreak teams are our super talented Data Engineers. Data Engineers are data experts who dive right into new client projects and make it their job to understand how a client’s data fits into our Industry Intelligent data models. Utilizing this knowledge and the industry’s newest technologie, they create high performance databases that become the very foundation of the work we do. Critical at all stages of the data science process, Data Engineers work cross-functionally with both external and internal teams – from business analysts to data scientists; web app developers to platform engineers; IT teams to high-level executives. Data Engineers also provide valuable feedback to our software team that helps to shape the development of Aunsight, our proprietary end-to-end cloud analytics platform; and the development of our proprietary web applications. The best Data Engineers are patient, persistent, focused, creative, and incredibly curious. They love to learn and seek out opportunities to identify unexpected solutions or develop alternate ways to solve challenging problems.



Aunalytics is a data platform company that delivers insights as a service to answer a company’s most important IT and business questions. Our cloud-native data platform is built for universal data access, advanced analytics, and AI; unifying disparate data silos into a single golden record of accurate, actionable business information. Through our side-by-side digital transformation model, we provide on-demand scalable access to technology, data science, and AI experts to seamlessly transform a client’s business.
Show More
Report",96.0,1 to 50 Employees,Company - Private,,,, IN,,0,1,0,1,0,0,0,0,0,0,1
"Qventus
",Data Engineer ll,Remote,"The Company
Have you ever found yourself or a loved one waiting hours and hours in a hospital Emergency Room to get care? Or have you ever had a surgery scheduled for months in the future that needed to happen sooner? Unfortunately, our healthcare system is full of these types of operational problems. Our work saves lives and helps hospitals cut tens of millions of dollars in operational costs, while improving the quality of care they’re able to deliver.
Qventus is a real-time decision making platform for hospital operations. Our mission is to simplify how healthcare operates, so that hospitals and caregivers can focus on delivering the best possible care to patients. We use artificial intelligence and machine learning to create products that help nurses, doctors, and hospital staff anticipate issues and make operational decisions proactively.
Show More
Report",145.0,51 to 200 Employees,Company - Private,Information Technology,Enterprise Software & Network Solutions,2012.0,Remote,11.0,0,1,0,0,0,0,0,0,0,0,0
"Core4ce
",Data Engineer,"Herndon, VA","The Data Engineer will provide the engineering support to data science and software engineering team members.
Design and optimize Data Pipelines using Spark, Hudi, EMR cloud services, and Kubernetes containers
Make sure pedigree and provenance of the data is maintained such that the access to data is protected
Clean and preprocess data to enable analytic access
Architects complex, repeatable ETL processes
Provide Advanced Database Administration support in Oracle, MySQL, MariaDB, MongoDB, Elastic and others
Supports Experience with Targeting using Sponsor Tools, Reverse Engineering


Show More
Report",102.0,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2018.0, VA,5.0,0,1,0,0,1,1,0,0,0,0,0
"Pactera Edge
",Data Engineer,Remote,"Job Description:
SQL, Azure Synapse, ADF, Spark/Scala development experience or background
Data engineer with exposure to Azure Cloud Data platform with the following requirements.
a. Familiarity with Microsoft development processes and stack
b. Capability to build data pipelines using ADF using V1 or V2 and/or Azure Data Bricks or Azure Synapse
c. Experience working on database/storage technologies such as SQL, Data Lakes and Cosmos DB (Azure Data Lake) etc.
d. Working experience in Spark and Scala
e. Experience in designing/developing databases, data pipelines and big data technologies
Job Type: Full-time
Show More
Report",95.0,1001 to 5000 Employees,Company - Private,Information Technology,Information Technology Support Services,2020.0,Remote,3.0,0,1,0,1,1,1,0,1,0,0,0
"KAYAK
",Data Analytics Engineer,"Concord, MA","KAYAK, part of Booking Holdings (NASDAQ: BKNG), is the world's leading travel search engine. With billions of queries across our platforms, we help people find their perfect flight, stay, rental car, cruise, or vacation package. We're also transforming the in-travel experience with our app and new accommodation software. For more information, visit www.KAYAK.com.
As an employee of KAYAK, you will be part of a global network that includes OpenTable and KAYAK's portfolio of metasearch brands including Swoodoo, checkfelix, momondo, Cheapflights, Mundi and HotelsCombined. Many employees are dedicated to one brand, but we all have the benefit of using each others strengths and insights. Together, we're able to help people experience the world through dining and travel.
Please note, the position is required to work from our Concord, MA office at least 3 days a week.
Show More
Report",116.5,1001 to 5000 Employees,Subsidiary or Business Segment,Information Technology,Internet & Web Services,2004.0, MA,19.0,0,1,0,0,0,0,0,0,0,0,0
"Everside Health
",Data Engineer,Remote,"ABOUT THE JOB
Data is one of the foundations of Everside Health and plays an integral role in delivering first-class healthcare services to our patient population. We utilize a wide variety of tools to produce valuable data and provide better patient care as a result.
As a Data Engineer, you will collaborate with product owners, senior data engineers, data architects and partnerships with expert resources to design, develop, and implement data assets for a wide range of new initiatives at Everside Health. The role involves heavy data exploration, proficiency with SQL, ETL, knowledge of service-based deployments and APIs, and the ability to discover and learn quickly through collaboration. There is a need to think analytically and outside of the box while questioning current processes and continuing to build your business acumen. There will be a combination of team collaboration and independent work efforts. This role involves interaction with the Analytics team as well as a wide range of business areas across Everside.
We seek candidates with a strong quantitative background and excellent analytical and problem-solving skills. This position combines business and technical skills involving interaction with business customers, Analytics partners, internal and external data suppliers, and information technology partners.
Show More
Report",105.0,1001 to 5000 Employees,Company - Private,Healthcare,Health Care Services & Hospitals,2001.0,Remote,22.0,0,1,0,0,1,0,0,0,0,0,0
"Rochester Institute of Technology
",SQL Data Engineer,"Rochester, NY","SQL Data Engineer
7576BR
University Advancement
Advancement Services and Administration

Detailed Job Description
The Advancement Systems, Data, and Analytics Team make transformation possible for the RIT community by effectively partnering with and empowering advancement stakeholders at the crossroads of strategy, systems, data, and analytics. As a valued member of that team, the Data Engineer will work closely with a diverse team to enhance our data and analytical capabilities to support divisional growth.

The Data Engineer will be relied upon to create programmatic solutions to support growing data integrations between our systems. This person will contribute to our reporting, ad hoc servicing, and business intelligence development efforts.

A successful Data Engineer will focus on opportunities to scale data and procedures through the identification of leverage points, programmatic abstractions, and process automation. This position requires advanced SQL skills, and there are opportunities to work with Python, Javascript, and other programming languages.

The ideal person in this role will be committed to continual learning about technology, the advancement industry, and the RIT community. Demonstrable appreciation for diversity and a willingness to develop personal leadership traits and team relationships are highly desirable.

Responsibilities:


At Rochester Institute of Technology, our mission is to shape the future and improve the world through creativity and innovation. As an engaged, intellectually curious, diverse and socially conscious community, we leverage the power of technology, the arts, and design for the greater good. In the Division of University Advancement at RIT, we are dedicated to advancing this mission by fostering deep and meaningful connections with alumni, parents, friends, and organizations with the goal of increasing the resources available to the university through greater volunteer engagement and increased philanthropic support. As Advancement professionals, we seek support from a variety of investors to ensure a life-transforming RIT education is accessible to the talented students who seek to join us.

RITs Division of University Advancement (UADV) is committed to diversity, equity and inclusion. We believe the power of diversity enriches all of us by exposing us to a range of ways to understand and engage with each other, our constituents and our broader communities. We are dedicated to developing and implementing best practices to promote even greater diversity through our employee retention and hiring, accessibility, marketing materials, constituent engagement and in pursuit of our philanthropic goals.


Education/Experience:
Skills;
Competencies


Fulltime
120A


In order to be considered for this position, you must apply for it at: http://careers.rit.edu/staff. Click the link for search openings and in the keyword search field, enter the title of the position or the BR number.

The direct link to this posting can be found here: https://sjobs.brassring.com/







RIT does not discriminate. RIT is an equal opportunity employer that promotes and values diversity, pluralism, and inclusion. For more information or inquiries, please visit RIT/TitleIX or the U.S. Department of Education at ED.Gov

jeid-15b2ceb8d45d1f4cbdb4fe755f19d006
Show More
Report",88.0,1001 to 5000 Employees,College / University,Education,Colleges & Universities,1829.0, NY,194.0,1,1,1,0,1,0,0,0,0,0,0
"iHeartMedia, Inc.
",Data Engineer,"New York, NY","iHeartMedia

Current employees and contingent workers click here to apply and search by the Job Posting Title.

The audio revolution is here – and iHeart is leading it! iHeartMedia, the number one audio company in America, reaches 90% of Americans every month - a monthly audience that’s twice the size of any other audio company – almost three times the size of the largest TV network – and almost 4 times the size of the largest ad-supported music streaming service. In fact, we have:

More #1 rated markets than the next two largest radio companies combined;

We’re the largest podcast publisher, with more monthly downloads than the second- and third-largest podcast publishers combined. Podcasting, the fastest-growing new media, today has more monthly users than streaming music services or Netflix;

iHeart is the home of many of the country’s most popular and trusted on-air personalities and podcast influencers, who build important connections with hundreds of communities across America;

We create and produce some of the most popular and well-known branded live music events in America, including the iHeartRadio Music Festival, the iHeartRadio Music Awards, the iHeartCountry Festival, iHeartRadio Fiesta Latina and the iHeartRadio Jingle Ball Tour;

iHeartRadio is the #1 streaming radio digital service in America;

Our social media footprint is 7 times larger than the next largest audio service; and

We have the only complete audio ad technology stack in the industry for all forms of audio, from on demand to broadcast radio, digital streaming radio and podcasting, which bring data, targeting and attribution to all forms of audio at an unparalleled scale. As a result, we’re able to combine our strong leadership position in audience reach, usage and ad tech with powerful tools and insights for our sales organizations to help them build success for their clients at a more efficient cost than any other option.

Because we reach almost every community in America, we’re committed to providing a range of programming that reflects the diversity of the many communities we serve – and our company reflects that same kind of diversity. Our company values stress collaboration, curiosity, welcoming dissent, accepting mistakes in the pursuit of new ideas, and respect for everyone.

Only one company in America has the #1 position in everything audio: iHeartMedia!

If you’re excited about this role but don’t feel your experience aligns perfectly with the job description, we encourage you to apply anyway. At iHeartMedia we are dedicated to building a diverse, inclusive, and authentic workplace and are looking for teammates passionate about what we do!


iHeartMedia Entertainment, Inc. seeks candidates for the position of Data Engineer, responsible for building out high throughput data pipelines and working to improve the existing infrastructure, improve performance, and increase visibility into the data ecosystem.


Responsible for building out high throughput data pipelines and working to improve the existing infrastructure, improve performance, and increase visibility into the data ecosystem.


Relevant work experience


Respect for others and a strong belief that others should do this in return

Experience with various technical disciplines and applications

Close attention to detail, following up until issues are resolved

Ability to multitask on a variety of critical projects

Ability to work independently, while also collaborating with others

Strong communication skills, with the ability to communicate moderately complex technical information within the team

Skills to recognize and solve frequently occurring problems

Analytical thinking

Resourcefulness and independent judgement


Salary to be determined by multiple factors including but not limited to relevant experience, knowledge, skills, other job-related qualifications, and alignment with market data.

$116,000 - $130,000


125 West 55th Street, 10019


Regular


Full time


Salaried


iHeartMedia’s benefits offering is flexible and offers a variety of choices to meet the diverse needs of our changing workforce, including the following:

Employer sponsored medical, dental and vision with a variety of coverage options

Company provided and supplemental life insurance

Paid vacation and sick time

Paid company holidays, including a floating holiday that enable our employees to celebrate the holiday of their choosing

A Spirit day to encourage and allow our employees to more easily volunteer in their community

A 401K plan

Employee Assistance Program (EAP) at no cost – services include telephonic counseling sessions, consultation on legal and financial matters, emotional well-being, family and caregiving

A range of additional voluntary programs, such as spending accounts, student loan refinancing, accident insurance and more!

The Company is an equal opportunity employer and will not tolerate discrimination in employment on the basis of race, color, age, sex, sexual orientation, gender identity or expression, religion, disability, ethnicity, national origin, marital status, protected veteran status, genetic information, or any other legally protected classification or status.

Non-Compete will be required for certain positions and as allowed by law.

Our organization participates in E-Verify. Click here to learn about E-Verify.
Show More
Report",95.5,10000+ Employees,Company - Public,Media & Communication,Broadcast Media,1972.0, NY,51.0,0,1,0,0,0,0,0,0,0,0,1
"New Braunfels Utilities
",Data Engineer,"New Braunfels, TX","Position Summary
The Data Engineer is responsible is responsible for providing technical and analytical guidance to applications team members and interacting with the user community to automate and improve business processing and assist with user understanding of their applications software.
Essential Duties & Responsibilities
Responsibilities
Extract, transform and load data from multiple internal and external sources.
Design, develop, clean, manage, and analyze data and dataflow.
Provide detailed documentation of data transformation rules.




Show More
Report",98.0,201 to 500 Employees,Government,"Energy, Mining & Utilities",Energy & Utilities,1942.0, TX,81.0,0,1,0,0,0,0,0,0,0,0,0
"Swift Technologies Inc
",Data Engineer,"Fremont, CA","Position: Data Engineer
Duration: Contract
Location: Fremont, California
Skills:
Strong in SQL and Python
Data warehousing concepts , Data Modeling and RDBMS concepts
Good to have exposure to big data technologies – Apache Spark, Kafka, Airflow, NoSQL
Show More
Report",122.0,1 to 50 Employees,Company - Private,Information Technology,Information Technology Support Services,, CA,,1,1,0,0,1,1,0,0,1,0,0
"Tokai Carbon GE LLC
",Data Engineer (Onsite),"Charlotte, NC","Tokai Carbon helps build America every day and we are proud of it. Tokai Carbon is one of the largest and most highly recognized graphite electrode manufacturers in the world. In order to continue to help build America, we need YOU. So, what's in it for you? We know that our employees are our greatest asset. We foster a collaborative and supportive work environment. We are committed to the pursuit of excellence through the development of our employees to be the best they can be. We believe family and work-life balance is essential to long-term success.
JOB SUMMARY
The Data Engineer will be responsible for designing, implementing, and supporting solutions used to collect, transform, store, and analyze data from a variety of company applications. They analyze and organize raw data, build data systems and pipelines, review and analyze data infrastructure, plan, and implement solutions to store and manage data. Also, they create reports, dashboards, and other analytics solutions. They will work closely with the lines of business and external partners, to ensure successful development and delivery of BI and data analytics solutions. This is a hands-on development and support position with ownership responsibility for data architecture and engineering for BI and analytics purposes.

Show More
Report",86.5,1001 to 5000 Employees,Company - Public,Manufacturing,Chemical Manufacturing,, NC,,0,1,0,0,0,0,0,0,0,0,0
"REPS & Co.
",Data Engineer,"Santa Clara, CA","Founded in 2017, REPS & Co. is a leader in the entertainment industry specializing in ticketing for live events. We provide tickets to many events and shows across the nation including music, sports and theatrical performances. We pride ourselves in offering the best experience for the best price to our customers. Our technology is what allows us to outperform our competitors and deliver an unforgettable experience to fans.
We are looking for an organized, experienced, and driven Data Engineer. The Data Engineer is responsible for expanding and optimizing our data and data pipeline architecture, as well as optimizing data flow and collection for cross functional teams.
We are excited to add a Data Engineer to our growing team!
Responsibilities:
Show More
Report",126.5,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2017.0, CA,6.0,0,1,0,0,0,0,0,0,0,0,0
"HYR Global Source Inc
",Junior Data Engineer,"Dallas, TX","Job Title - Junior Data Engineer
Location - Dallas TX Hybrid ( No Relocation )
Tax Term (W2, C2C) - W2 / C2C

Position Type(Contract/permanent) - Contract
Project Duration - Long term 12+ months



Job description -
The candidate needs to be hungry to learn and will be working with the Data team, looking for someone who is willing to learn and is motivated to grow within.
Show More
Report",90.0,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2013.0, TX,10.0,0,1,0,0,0,0,0,0,0,0,0
"Southern Farm Bureau Life Insurance Co.
",Data Engineer,"Jackson, MS","The Data Engineer is responsible for development and support for SFBLI’s enterprise data warehouse (EDW). This position will utilize various methods and technology to transform raw data into useful data systems. The Data Engineer will create and maintain all ETL processes for the EDW along with providing operational support in production. The Data Engineer will also work with business areas to help design and load data marts/data sets as needed.

Qualifications
Bachelor's Degree (Math, Computer Science, Information Systems, Statistics Preferred) or a combination of education and experience
Graduate Degree in Computer Science, Math, Statistics, Information Systems, Data Science preferred

Show More
Report",80.0,501 to 1000 Employees,Company - Private,Insurance,Insurance Carriers,1946.0, MS,77.0,0,1,0,0,0,0,0,0,0,0,0
